"biosphere","id","river","site","weather","other_weather","start_comment","dissolved_oxygen_ppm","dissolved_oxygen_percent","time","nitrate","phosphate","salinity_ppt","salinity_percent","tds","electrical_conductivity","ph","irrigation_suitability","air_temperature","latitude","longitude","altitude_m","location_accuracy_m","datetime","date","flag_ph","flag_do_ppm","flag_do_percent","flag_ec","flag_temp","any_flag"
"Kruger 2 Canyons BR","Mohlatsengwana Site 3","Mohlatsengwana","Site 3","sunny","","",NA,NA,"06/13/2024 09:20",NA,NA,NA,NA,NA,376,8.23,"pH reading indicates the water is suitable for irrigation",13.3,-24.5406801,30.6954704,857.5,3.314,2024-06-13 09:20:00,2024-06-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 2","Levubu River","Mulenzhe site 2","sunny","","",1.53,15.4,"06/13/2024 09:57",NA,NA,NA,NA,NA,153.6,8.07,"pH reading indicates the water is suitable for irrigation",17.4,-22.97206782,30.60327495,482.2372686,4.7,2024-06-13 09:57:00,2024-06-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 2","Levubu River","Mulenzhe site 2","sunny","","",1.53,15.4,"06/13/2024 09:57",NA,NA,NA,NA,NA,153.6,8.07,"pH reading indicates the water is suitable for irrigation",17.4,-22.9716942,30.6033996,485,4.98,2024-06-13 09:57:00,2024-06-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Tshakhuma2","Levubu River","Tshakhuma2","sunny","","",7.51,77.1,"06/13/2024 09:53",NA,NA,NA,NA,NA,317,7.74,"pH reading indicates the water is suitable for irrigation",23.8,-23.0529676,30.2964807,687.2,3.9,2024-06-13 09:53:00,2024-06-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 2","Mohlatsengwana","Site 2","sunny","","",NA,NA,"06/13/2024 10:00",NA,NA,NA,NA,NA,377,8.22,"pH reading indicates the water is suitable for irrigation",11.5,-24.5395955,30.6893045,855.5,4.88,2024-06-13 10:00:00,2024-06-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Site 1","Olifants","Site 1","sunny","","",NA,125.87,"06/13/2024 10:06",NA,NA,NA,NA,NA,515,8.65,"pH reading indicates the water is NOT suitable for irrigation",16.9,-24.3620176,30.6586702,477.7,4.775,2024-06-13 10:06:00,2024-06-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 1","Mohlatsengwana","Site 1","sunny","","",NA,NA,"06/13/2024 11:16",NA,NA,NA,NA,NA,370,8.11,"pH reading indicates the water is suitable for irrigation",12.5,-24.55188,30.6754118,863.8,4.35,2024-06-13 11:16:00,2024-06-13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Lambani site 2 No site name given","Lambani site 2","No site name given","partly_cloudy","","",3.36,43.3,"06/12/2024 12:39",NA,NA,NA,NA,NA,92.1,7.4,"pH reading indicates the water is suitable for irrigation",17.2,-22.7276296,30.8853015,421.8,4.75,2024-06-12 12:39:00,2024-06-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Tshakhuma01 Tshakhuma001","Tshakhuma01","Tshakhuma001","sunny","","",7.46,76.6,"06/18/2024 10:14",NA,NA,NA,NA,NA,178.8,8,"pH reading indicates the water is suitable for irrigation",21,-23.0541251,30.2969232,668.9,4.4,2024-06-18 10:14:00,2024-06-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe Site 1","Levubu River","Mulenzhe Site 1","sunny","","",1.72,17.1,"06/18/2024 10:26",NA,NA,NA,NA,NA,154.2,7.97,"pH reading indicates the water is suitable for irrigation",17.5,-22.97113253,30.6038126,496.7783194,4.9,2024-06-18 10:26:00,2024-06-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe Site 1","Levubu River","Mulenzhe Site 1","sunny","","",1.72,17.1,"06/18/2024 10:24",NA,NA,NA,NA,NA,154.2,7.97,"pH reading indicates the water is suitable for irrigation",17.5,-22.9711823,30.6036635,472,4.64,2024-06-18 10:24:00,2024-06-18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Marakalala Site 3","Marakalala","Site 3","sunny","","",17.2,NA,"06/19/2024 10:27",NA,NA,NA,NA,NA,472,7.79,"pH reading indicates the water is suitable for irrigation",16,-24.52659371,30.71939684,842.7911885,4.9,2024-06-19 10:27:00,2024-06-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 1","Levubu River","Lambani site 1","sunny","","",3.21,42.2,"06/19/2024 10:57",NA,NA,NA,NA,NA,135.7,7.8,"pH reading indicates the water is suitable for irrigation",17,-22.7455891,30.8844639,396.8,4.9,2024-06-19 10:57:00,2024-06-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Kub001 US","Kubjaname","Kub001 US","sunny","","",NA,114.01,"06/19/2024 17:32",NA,NA,NA,NA,NA,104.1,7.45,"pH reading indicates the water is suitable for irrigation",16.6,-24.3228815,30.4854572,654.6,4.966,2024-06-19 17:32:00,2024-06-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Halambani site 1","Levubu River","Halambani site 1","sunny","","",3.21,42.2,"06/19/2024 10:28",NA,NA,NA,NA,NA,135.7,7.8,"pH reading indicates the water is suitable for irrigation",17,-22.7454225,30.8844798,434.1,4.85,2024-06-19 10:28:00,2024-06-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 2","Levubu River","Mulenzhe site 2","cloudy","","",1.38,14.4,"06/20/2024 09:32",NA,NA,NA,NA,NA,155.6,8.06,"pH reading indicates the water is suitable for irrigation",17.5,-22.97172638,30.60347021,480.328059,4.9,2024-06-20 09:32:00,2024-06-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 2","Levubu River","Mulenzhe site 2","cloudy","","",1.38,14.4,"06/20/2024 09:32",NA,NA,NA,NA,NA,155.6,8.06,"pH reading indicates the water is suitable for irrigation",17.5,-22.9717605,30.6034552,500.9,4.75,2024-06-20 09:32:00,2024-06-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Tshakhuma2","Levubu River","Tshakhuma2","cloudy","","",8.27,82.9,"06/20/2024 10:03",NA,NA,NA,NA,NA,163.5,8.19,"pH reading indicates the water is suitable for irrigation",18,-23.0528794,30.2965438,634.5,4.071,2024-06-20 10:03:00,2024-06-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Marico BR","Kuilfontein No site name given","Kuilfontein","No site name given","sunny","","",66.7,11.2,"06/20/2024 11:58",NA,NA,NA,NA,NA,320,7.45,"pH reading indicates the water is suitable for irrigation",11.6,-25.7444778,26.352064,1403.721134,4.9,2024-06-20 11:58:00,2024-06-20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Marico BR","Doorinkloof spruit No site name given","Doorinkloof spruit","No site name given","sunny","","",8.6,12.5,"06/20/2024 10:27",NA,NA,NA,NA,NA,409,7.55,"pH reading indicates the water is suitable for irrigation",13.7,-25.7408851,26.3480359,1381.399406,4.9,2024-06-20 10:27:00,2024-06-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Marico BR","Doorkloof Spruit Doornkloof Spruit","Doorkloof Spruit","Doornkloof Spruit","sunny","","It is sunny and the weather is ok",5.16,55.1,"06/20/2024 10:23",NA,NA,NA,NA,NA,66.3,8.02,"pH reading indicates the water is suitable for irrigation",13.7,-25.7417117,26.3451027,1380.5,4,2024-06-20 10:23:00,2024-06-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Marico BR","Kuilfontein se loop Kuilfontein se loop","Kuilfontein se loop","Kuilfontein se loop","sunny","","",4.68,56.9,"06/20/2024 10:26",NA,NA,NA,NA,NA,308,8.09,"pH reading indicates the water is suitable for irrigation",18.1,-25.7444085,26.3521563,1388.3,5,2024-06-20 10:26:00,2024-06-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Marico BR","Doorenkloof spreit Doorenkloof spreit","Doorenkloof spreit","Doorenkloof spreit","sunny","","",339,316,"06/20/2024 10:28",NA,NA,NA,NA,NA,548,842,"pH reading indicates the water is NOT suitable for irrigation",218,-25.7418067,26.3452366,1390,4.7,2024-06-20 10:28:00,2024-06-20,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"Marico BR","Doorenkloof spreit 1","Doorenkloof spreit","1","sunny","","",502,238,"06/20/2024 10:24",NA,NA,NA,NA,NA,369,757,"pH reading indicates the water is NOT suitable for irrigation",157,-25.7409358,26.3481052,1391.5,4.95,2024-06-20 10:24:00,2024-06-20,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"Kruger 2 Canyons BR","Mohlatsengwana Site 3","Mohlatsengwana","Site 3","sunny","","",NA,NA,"06/20/2024 09:02",NA,NA,NA,NA,NA,370,3.3,"pH reading indicates the water is NOT suitable for irrigation",16.1,-24.54059738,30.69538509,848.8848956,4.9,2024-06-20 09:02:00,2024-06-20,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Mohlatsengwana Site 2","Mohlatsengwana","Site 2","sunny","","",NA,NA,"06/20/2024 10:00",NA,NA,NA,NA,NA,381,8.04,"pH reading indicates the water is suitable for irrigation",11,-24.53976816,30.68916539,854.4514339,4.9,2024-06-20 10:00:00,2024-06-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 1","Mohlatsengwana","Site 1","sunny","","",NA,NA,"06/20/2024 11:33",NA,NA,NA,NA,NA,376,7.96,"pH reading indicates the water is suitable for irrigation",16.3,-24.55181951,30.67542383,867.1169713,4.9,2024-06-20 11:33:00,2024-06-20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Moe001 US","Moetladimo","Moe001 US","partly_cloudy","","",NA,97.31,"06/25/2024 08:53",NA,NA,NA,NA,NA,126.5,7.75,"pH reading indicates the water is suitable for irrigation",16.7,-24.2664269,30.449365,633,3.9,2024-06-25 08:53:00,2024-06-25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Kub001 US","Kubjaname","Kub001 US","sunny","","",NA,93.68,"06/26/2024 09:21",NA,NA,NA,NA,NA,111.3,7.6,"pH reading indicates the water is suitable for irrigation",16.9,-24.3227846,30.4858752,704.5,4.75,2024-06-26 09:21:00,2024-06-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 3","Kubjaname","Site 3","sunny","","",NA,75.04,"06/26/2024 10:15",NA,NA,NA,NA,NA,305,7.5,"pH reading indicates the water is suitable for irrigation",17.7,-24.302264,30.5052444,608.5,3.9,2024-06-26 10:15:00,2024-06-26,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Marakalala Site 3","Marakalala","Site 3","partly_cloudy","","",75.4,18.4,"06/26/2024 11:32",NA,NA,NA,NA,NA,325,769,"pH reading indicates the water is NOT suitable for irrigation",18.7,-24.52652148,30.71959464,841.1213727,4.9,2024-06-26 11:32:00,2024-06-26,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Marakalala Site 1","Marakalala","Site 1","partly_cloudy","","",30,17.7,"06/26/2024 11:34",NA,NA,NA,NA,NA,255,6.87,"pH reading indicates the water is suitable for irrigation",17.2,-24.52284889,30.70720231,853.6023594,4.7,2024-06-26 11:34:00,2024-06-26,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Olifants Oli001 US","Olifants","Oli001 US","cloudy","","",NA,99.25,"06/27/2024 08:26",NA,NA,NA,NA,NA,534,8.65,"pH reading indicates the water is NOT suitable for irrigation",16.9,-24.4240337,30.5557131,531.9,4.733,2024-06-27 08:26:00,2024-06-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 2","Levubu River","Mulenzhe site 2","cloudy","","",1.14,11.8,"06/27/2024 09:29",NA,NA,NA,NA,NA,154.9,8.18,"pH reading indicates the water is suitable for irrigation",17.7,-22.97168538,30.60344524,483.6082858,4.9,2024-06-27 09:29:00,2024-06-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 2","Levubu River","Mulenzhe site 2","cloudy","","",1.14,11.8,"06/27/2024 09:29",NA,NA,NA,NA,NA,154.9,8.18,"pH reading indicates the water is suitable for irrigation",17.7,-22.9717147,30.6035221,496.5,4.34,2024-06-27 09:29:00,2024-06-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Olifants Site 1","Olifants","Site 1","light_rain","","",NA,105.66,"06/27/2024 09:24",NA,NA,NA,NA,NA,537,8.56,"pH reading indicates the water is NOT suitable for irrigation",16.3,-24.3619433,30.6586633,491.3,4.9,2024-06-27 09:24:00,2024-06-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Tshakhuma1","Levubu River","Tshakhuma1","partly_cloudy","","It's extremely cold weather",7.99,66.1,"06/27/2024 09:39",NA,NA,NA,NA,NA,96.4,8.07,"pH reading indicates the water is suitable for irrigation",18.1,-23.0541091,30.2968558,647.8,4.942,2024-06-27 09:39:00,2024-06-27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 3","Mohlatsengwana","Site 3","cloudy","","",69.5,NA,"06/27/2024 09:08",NA,NA,NA,NA,NA,458,8.21,"pH reading indicates the water is suitable for irrigation",NA,-24.54062696,30.69549605,851.8225137,4.9,2024-06-27 09:08:00,2024-06-27,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Mohlatsengwana Site 2","Mohlatsengwana","Site 2","cloudy","","",81.3,NA,"06/27/2024 10:18",NA,NA,NA,NA,NA,81.3,8.05,"pH reading indicates the water is suitable for irrigation",16.1,-24.53960641,30.6893559,862.2677546,4.9,2024-06-27 10:18:00,2024-06-27,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Vhembe BR","Levubu River Tshakhuma2","Levubu River","Tshakhuma2","partly_cloudy","","",5.86,81.1,"06/28/2024 09:49",NA,NA,NA,NA,NA,117.1,7.79,"pH reading indicates the water is suitable for irrigation",20.1,-23.0528768,30.296427,672,4.671,2024-06-28 09:49:00,2024-06-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 2","Levubu River","Lambani site 2","partly_cloudy","","",3.28,32.5,"06/28/2024 10:34",NA,NA,NA,NA,NA,175.5,7.86,"pH reading indicates the water is suitable for irrigation",18.2,-22.7276075,30.8853203,429.2,3.9,2024-06-28 10:34:00,2024-06-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Ha lambani site 2","Levubu River","Ha lambani site 2","partly_cloudy","","",3.28,32.5,"06/28/2024 10:32",NA,NA,NA,NA,NA,175.5,7.86,"pH reading indicates the water is suitable for irrigation",18.2,-22.7276581,30.8853233,398,4.8,2024-06-28 10:32:00,2024-06-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Halambani site 1","Levubu River","Halambani site 1","sunny","","",3.34,43.2,"06/21/2024 10:41",NA,NA,NA,NA,NA,128.6,7.91,"pH reading indicates the water is suitable for irrigation",18,-22.7454542,30.8845507,425.5,4.066,2024-06-21 10:41:00,2024-06-21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 02","Levubu River","Lambani site 02","cloudy","","",2.39,31.7,"06/24/2024 09:48",NA,NA,NA,NA,NA,171.7,8.28,"pH reading indicates the water is suitable for irrigation",17,-22.7275679,30.8853329,425.6,4.933,2024-06-24 09:48:00,2024-06-24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Lambani site 2 Lambani site 2","Lambani site 2","Lambani site 2","partly_cloudy","","",3.28,32.5,"06/28/2024 10:15",NA,NA,NA,NA,NA,175.5,NA,"pH reading indicates the water is NOT suitable for irrigation",18.2,-22.7275581,30.8853272,428,4.975,2024-06-28 10:15:00,2024-06-28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 1","Klaserie","Site 1","sunny","","",NA,157.34,"07/01/2024 09:11",NA,NA,NA,NA,NA,58.4,NA,"pH reading indicates the water is NOT suitable for irrigation",13,-24.6059722,30.9702998,665.9,4.66,2024-07-01 09:11:00,2024-07-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 2","Klaserie","Site 2","sunny","","",12.34,NA,"07/01/2024 09:53",NA,NA,NA,NA,NA,43.6,NA,"pH reading indicates the water is NOT suitable for irrigation",13.4,-24.6045291,30.9730052,669.8,3.757,2024-07-01 09:53:00,2024-07-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 3","Klaserie","Site 3","sunny","","",12.06,NA,"07/01/2024 10:15",NA,NA,NA,NA,NA,40.8,NA,"pH reading indicates the water is NOT suitable for irrigation",13.5,-24.604392,30.9752833,682,4.55,2024-07-01 10:15:00,2024-07-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Tshakhuma1","Levubu River","Tshakhuma1","sunny","","",7.81,77.8,"07/02/2024 09:28",NA,NA,NA,NA,NA,308,7.71,"pH reading indicates the water is suitable for irrigation",21.4,-23.0541489,30.2969372,666.0180664,3.9,2024-07-02 09:28:00,2024-07-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 1","Levubu River","Mulenzhe site 1","heavy_rain","","",1.36,15.6,"07/02/2024 10:13",NA,NA,NA,NA,NA,153.2,8.26,"pH reading indicates the water is suitable for irrigation",17.2,-22.97120689,30.60377169,491.0194677,4.7,2024-07-02 10:13:00,2024-07-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe Site 1","Levubu River","Mulenzhe Site 1","sunny","","",1.36,15.6,"07/02/2024 10:13",NA,NA,NA,NA,NA,153.2,8.26,"pH reading indicates the water is suitable for irrigation",17.2,-22.9712008,30.6037321,507.5,4.42,2024-07-02 10:13:00,2024-07-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Halambani site 1","Levubu River","Halambani site 1","sunny","","",NA,NA,"07/02/2024 09:41",NA,NA,NA,NA,NA,219,7.57,"pH reading indicates the water is suitable for irrigation",19.2,-22.7454245,30.8844782,416,4.875,2024-07-02 09:41:00,2024-07-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 1","Levubu River","Lambani site 1","sunny","","",NA,NA,"07/02/2024 09:40",NA,NA,NA,NA,NA,219,7.57,"pH reading indicates the water is suitable for irrigation",19.2,-22.7454484,30.8845029,420.6,4.416,2024-07-02 09:40:00,2024-07-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Mulenzhe Site 1 Mulenzhe Site 1","Mulenzhe Site 1","Mulenzhe Site 1","sunny","","Activities that was being done was washing of clothes.",1.36,15.6,"07/02/2024 10:13",NA,NA,NA,NA,NA,153.2,8.26,"pH reading indicates the water is suitable for irrigation",17.2,-22.97111872,30.60382999,498.9439697,4.6980333,2024-07-02 10:13:00,2024-07-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 1","Levubu River","Lambani site 1","heavy_rain","","",NA,NA,"07/02/2024 09:41",NA,NA,NA,NA,NA,219,7.57,"pH reading indicates the water is suitable for irrigation",19.2,-22.7454182,30.8844631,419.1,3.9,2024-07-02 09:41:00,2024-07-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Site 1","Moetladimo","Site 1","sunny","","",NA,95.01,"07/02/2024 21:20",NA,NA,NA,NA,NA,111.5,7.95,"pH reading indicates the water is suitable for irrigation",18.4,-24.2587059,30.4538431,616.9000244,5.818,2024-07-02 21:20:00,2024-07-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Moe001 US","Moetladimo","Moe001 US","sunny","","",NA,87.14,"07/02/2024 21:21",NA,NA,NA,NA,NA,123.7,7.79,"pH reading indicates the water is suitable for irrigation",16.4,-24.2663101,30.4492799,602.8,3.9,2024-07-02 21:21:00,2024-07-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Marakalala Site 3","Marakalala","Site 3","sunny","","",NA,75.4,"07/03/2024 10:07",NA,NA,NA,NA,NA,482,7.79,"pH reading indicates the water is suitable for irrigation",16.1,-24.52657563,30.71958245,838.630977,4.9,2024-07-03 10:07:00,2024-07-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Tshakhuma2","Levubu River","Tshakhuma2","sunny","","",8.31,82.3,"07/04/2024 09:28",NA,NA,NA,NA,NA,348,7.86,"pH reading indicates the water is suitable for irrigation",20.9,-23.052945,30.296525,644.9,3.9,2024-07-04 09:28:00,2024-07-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Treur River Site 1","Treur River","Site 1","sunny","","",10.4,126.84,"07/04/2024 08:45",NA,NA,NA,NA,NA,53.6,7.94,"pH reading indicates the water is suitable for irrigation",13.2,-24.67523833,30.81141667,1103.2,2.5,2024-07-04 08:45:00,2024-07-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 3","Mohlatsengwana","Site 3","sunny","","",8.46,NA,"07/04/2024 11:20",NA,NA,NA,NA,NA,57.3,8.78,"pH reading indicates the water is NOT suitable for irrigation",13.97,-24.6540853,31.044126,583.9,4.88,2024-07-04 11:20:00,2024-07-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Kubjaname Site 3","Kubjaname","Site 3","sunny","","",NA,83.87,"07/03/2024 10:05",NA,NA,NA,NA,NA,295,7.54,"pH reading indicates the water is suitable for irrigation",17.3,-24.3023322,30.5052525,583.2,4.8,2024-07-03 10:05:00,2024-07-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Mohlatsengwana Site 3","Mohlatsengwana","Site 3","sunny","","",8.46,NA,"07/04/2024 14:53",NA,NA,NA,NA,NA,57.3,8.78,"pH reading indicates the water is NOT suitable for irrigation",13.97,-24.6540853,31.044126,583.9,4.88,2024-07-04 14:53:00,2024-07-04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 1","Klaserie","Site 1","cloudy","","",0,0,"07/04/2024 15:00",NA,NA,NA,NA,NA,63.8,0,"pH reading indicates the water is NOT suitable for irrigation",15.1,-24.6060489,30.9702911,657.1,4.633,2024-07-04 15:00:00,2024-07-04,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"Kruger 2 Canyons BR","Mohlatsengwana Site 2","Mohlatsengwana","Site 2","sunny","","",75.8,13.5,"07/04/2024 09:07",NA,NA,NA,NA,NA,410,7.9,"pH reading indicates the water is suitable for irrigation",13,-24.53950211,30.68940231,871.0946912,4.9,2024-07-04 09:07:00,2024-07-04,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"Vhembe BR","Levubu River Mulenzhe site 2","Levubu River","Mulenzhe site 2","sunny","","",1.12,12.6,"07/05/2024 09:41",NA,NA,NA,NA,NA,148.6,8.29,"pH reading indicates the water is suitable for irrigation",17.4,-22.97169511,30.60346921,477.6829791,4.9,2024-07-05 09:41:00,2024-07-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Mulenzhe site 2","Levubu River","Mulenzhe site 2","sunny","","Washing of clothes anda cars were done at the site",1.12,12.3,"07/05/2024 09:41",NA,NA,NA,NA,NA,148.6,8.29,"pH reading indicates the water is suitable for irrigation",17.4,-22.97166323,30.60341512,492.4163208,4.816192,2024-07-05 09:41:00,2024-07-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Lambani site 1","Levubu River","Lambani site 1","partly_cloudy","","",NA,NA,"07/05/2024 09:52",NA,NA,NA,NA,NA,139.6,7.85,"pH reading indicates the water is suitable for irrigation",18,-22.7452463,30.884137,421.3,4.833,2024-07-05 09:52:00,2024-07-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Vhembe BR","Levubu River Halambani site 1","Levubu River","Halambani site 1","partly_cloudy","","",NA,NA,"07/05/2024 09:43",NA,NA,NA,NA,NA,139.6,7.85,"pH reading indicates the water is suitable for irrigation",18,-22.7454859,30.8844435,421.7,4.8,2024-07-05 09:43:00,2024-07-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Unnamed river No site name given","Unnamed river","No site name given","sunny","","Windy",9.76,118.3,"07/08/2024 09:32",NA,NA,NA,NA,NA,3.39,8.34,"pH reading indicates the water is suitable for irrigation",15.4,-24.66405667,30.79541,1165.1,2.8,2024-07-08 09:32:00,2024-07-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 3","Klaserie","Site 3","sunny","","",11.5,NA,"07/08/2024 14:23",NA,NA,NA,NA,NA,40.3,NA,"pH reading indicates the water is NOT suitable for irrigation",14.3,-24.6043838,30.9754512,674.3,4.5,2024-07-08 14:23:00,2024-07-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Klaserie Site 2","Klaserie","Site 2","sunny","","",9.18,NA,"07/08/2024 14:24",NA,NA,NA,NA,NA,38.8,NA,"pH reading indicates the water is NOT suitable for irrigation",14.3,-24.6045378,30.9731678,688.8,4.4,2024-07-08 14:24:00,2024-07-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Moetladimo Moe001 US","Moetladimo","Moe001 US","other","Sunny and Windy","",NA,116.92,"07/09/2024 08:58",NA,NA,NA,NA,NA,126.7,7.73,"pH reading indicates the water is suitable for irrigation",12.3,-24.2663049,30.4493188,602.5,4.5,2024-07-09 08:58:00,2024-07-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Blyde river Blyde river","Blyde river","Blyde river","sunny","","",8.23,99.61,"07/10/2024 08:51",NA,NA,NA,NA,NA,165.3,7.94,"pH reading indicates the water is suitable for irrigation",11.9,-24.68012333,30.801825,1099.9,2.5,2024-07-10 08:51:00,2024-07-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kruger 2 Canyons BR","Blyde river Blyde river","Blyde river","Blyde river","sunny","","Site 2",11.65,141,"07/10/2024 09:53",NA,NA,NA,NA,NA,166.2,7.94,"pH reading indicates the water is suitable for irrigation",11.3,-24.67903833,30.80239667,1103,4.6,2024-07-10 09:53:00,2024-07-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
